,DATETIME,LEVEL_T1,LEVEL_T2,LEVEL_T3,LEVEL_T4,LEVEL_T5,LEVEL_T6,LEVEL_T7,PRESSURE_J280,PRESSURE_J269,PRESSURE_J300,PRESSURE_J256,PRESSURE_J289,PRESSURE_J415,PRESSURE_J302,PRESSURE_J306,PRESSURE_J307,PRESSURE_J317,PRESSURE_J14,PRESSURE_J422,FLOW_PU1,FLOW_PU2,FLOW_PU3,FLOW_PU4,FLOW_PU5,FLOW_PU6,FLOW_PU7,FLOW_PU8,FLOW_PU9,FLOW_PU10,FLOW_PU11,FLOW_V2,STATUS_PU1,STATUS_PU2,STATUS_PU3,STATUS_PU4,STATUS_PU5,STATUS_PU6,STATUS_PU7,STATUS_PU8,STATUS_PU9,STATUS_PU10,STATUS_PU11,STATUS_V2,ATT_FLAG
6602,12/4/2016 23:15,1.36,2.4,3.55,2.49,4.5,5.06,1.08,2.99,20.74,26.35,87.92,26.41,83.34,14.12,87.66,13.86,78.95,29.2,28.3,121.73,0,0,35.3,0,0,50.21,27.41,0,24.65,24.61,61.98,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6801,15/4/2016 1:00,3.94,0.91,4.21,2.66,4.5,5.5,1.53,2.99,26.41,21.3,89.11,21.35,85.13,30.5,109.71,30.5,53.68,38.81,23,111.86,0,0,31.46,0,0,46.51,22.42,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
7710,24/4/2016 12:15,4.46,3.6,3.7,3.63,4.5,5.5,3.42,2.99,26.16,23.42,86.07,23.49,84.12,30.7,110.95,30.7,55.8,38.77,25.19,112.3,0,0,34.68,0,0,48.27,21.39,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
7805,25/4/2016 12:00,2.59,4.47,3.41,4.16,4.5,5.38,1.09,2.98,38.31,24.39,88.18,24.45,85.31,31.73,111.41,31.73,51.31,42,26.14,89.98,89.99,0,34,0,0,48.15,21.95,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
8898,6/5/2016 21:15,3.57,3.72,3.02,3.03,4.5,5.5,2.56,2.98,34.84,29.26,68.75,29.22,84.65,22.34,92.7,22.22,67.26,31.81,30.91,96.52,96.54,0,0,0,0,50.96,29.67,0,31.49,0,81.67,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
9137,9/5/2016 9:00,6.5,4.25,3.91,2.97,4.5,5.24,3.57,2.99,55.37,27.3,69.4,27.26,85.47,59.88,135,59.88,56.98,68.37,28.67,54.64,54.64,0,0,0,0,49.55,26.04,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
10866,27/5/2016 9:15,3.34,4.2,3.61,4.19,4.5,5.5,4.68,2.98,36.85,27.27,70.45,27.23,85.89,24.97,102.77,24.85,70.45,40.18,28.64,92.75,92.77,0,0,0,0,49.31,23.8,0,31.33,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
11241,31/5/2016 7:00,6.17,4.79,4.5,4.06,4.5,5.02,2.65,2.98,39.22,27.85,73.97,27.81,86.33,28.53,107.9,28.41,71.26,43.54,29.22,88.22,88.24,0,0,0,0,49.39,22.33,0,32.12,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
13550,24/6/2016 8:15,1.97,4.58,3.97,4.27,4.5,5.08,3.04,2.98,34.9,30.26,70.91,30.23,81.09,28.45,108.1,28.45,56.97,32.67,31.77,96.41,96.43,0,0,0,0,39.21,21.98,0,0,0,71.53,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
13789,26/6/2016 20:00,1.66,5.23,3.79,2.97,4.5,5.16,2.75,2.97,34.46,29.92,70.09,29.85,97.27,21.45,93.93,21.33,66.56,32.5,31.6,97.22,97.24,0,0,0,44.37,22.02,28.14,0,31.44,0,66.69,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
14482,4/7/2016 1:15,0.64,3.17,4.91,3.82,4.5,5.32,3.93,2.97,34.38,29.07,92.16,29.17,64.3,27.14,104.89,27.14,57.62,31.57,30.67,97.37,97.39,0,34.41,0,0,0,23.78,0,0,0,72.68,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
14857,7/7/2016 23:00,4.15,1.81,3.46,2.43,4.5,5.5,2.92,2.99,25.59,21.75,86.11,21.82,82.52,24.69,102.7,24.58,69.79,38.14,23.51,113.31,0,0,33.65,0,48.25,0,23.61,0,31.44,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
15242,11/7/2016 23:15,0.93,2.08,3.37,3.5,4.5,5.16,1.1,2.97,33.57,27.91,89.09,28.02,61.8,21.35,99.1,21.24,66.04,30.45,29.55,98.87,98.89,0,35.53,0,0,2.25,23.84,0,31.56,0,75.19,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
15681,16/7/2016 13:00,0.96,3.79,3.4,2.42,4.5,5.39,2.32,2.97,33.7,28,88.1,28.07,85.07,21.67,100.15,21.55,67.32,30.92,30.02,98.64,98.66,0,36.14,0,50.2,0,23.18,0,31.28,0,72.3,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
